#dato	#tipo	#sala	#elem	#al entrar
#### Sala 1 ########################################
# Desbloqueo de portal
478	5	151	4	0

#### Sala 155 ################################
#Activar puzzle
411	5	155	3	0

#Desaparece puerta + puzzle + sonido
412	1	155	1	1
413	2	155	1	1
414	6	155	4	0
415	5	155	5	0

#### Sala 157 ################################
#Activar puzzle
416	5	157	2	0

#Desaparece reja + puzzle + sonido
417	6	157	1	0
418	6	157	3	0
419	5	157	4	0

#### Sala 158 ################################
#Secreto y sonido
491	1	158	1	1
492	2	158	1	1
493	5	158	2	0

#### Sala 159 ################################
#Activar puzzle
420	5	159	2	0

#Abrir puerta + puzzle + sonido
421	1	159	1	1
422	2	159	1	1
423	6	159	3	0
424	5	159	4	0

#### Sala 161 ################################
#Plataformas móviles on y off

425	1	161	1	0
426	2	161	1	0
427	1	161	2	0
428	2	161	2	0
429	1	161	3	0
430	2	161	3	0
431	1	161	4	0
432	2	161	4	0

#Activar temporizador...
433	3	0	27	0

#Sonido plataformas
434	5	161	5	0

#Abrir puerta y sonido
435	6	161	6	0
436	5	161	7	0

#Secreto y sonido
546	1	161	10	1
547	2	161	10	1
548	5	161	11	0

#### Sala 164 ################################
#Bloques que aparecen y desaparecen, sonido...

448	1	164	1	0
449	2	164	1	0
450	5	164	3	0

#Activar temporizador...
451	3	0	32	0

#### Sala 165 ################################
#Secreto
533	1	165	1	1
534	2	165	1	1
535	5	165	2	0

#### Sala 167 ################################
#Apagar trampas y sonido palanca
457	6	167	4	0
458	5	167	5	0

#### Sala 169 ################################
#Activar puzzle
459	5	169	2	0

#Abrir puerta, placa puzzle, sonido
460	1	169	1	1
461	2	169	1	1
462	6	169	3	0
463	5	169	4	0

#### Sala 171 ################################
#Secreto y sonido
484	1	171	1	1
489	2	171	1	1
490	5	171	2	0

#### Sala 179 ################################
#Apagar llamas y sonido

497	6	179	1	0
498	5	179	2	0

####
#601
####
